quadra,lote,area_m2,valor_total,entrada_12x,parcela_12x_prefix,entrada_24x,parcela_24x_prefix,entrada_36x,parcela_36x_price_ipca,entrada_48x,parcela_48x_price_ipca,entrada_120x,parcela_120x_price_ipca,entrada_180x,parcela_180x_price_ipca
3,7,269.83,337287.5,33729.0,25297.0,50593.0,11946.0,33729.0,8432.0,33729.0,7129.0,33729.0,4045.0,33729.0,3458.0
3,8,269.86,337325.0,33733.0,25299.0,50599.0,11947.0,33733.0,8433.0,33733.0,7130.0,33733.0,4046.0,33733.0,3458.0
3,9,269.9,337375.0,33738.0,25303.0,50606.0,11949.0,33738.0,8434.0,33738.0,7131.0,33738.0,4046.0,33738.0,3459.0
3,10,269.95,337437.5,33744.0,25308.0,50616.0,11951.0,33744.0,8436.0,33744.0,7132.0,33744.0,4047.0,33744.0,3459.0
3,11,269.95,337437.5,33744.0,25308.0,50616.0,11951.0,33744.0,8436.0,33744.0,7132.0,33744.0,4047.0,33744.0,3459.0
3,12,269.89,337362.5,33736.0,25302.0,50604.0,11948.0,33736.0,8434.0,33736.0,7131.0,33736.0,4046.0,33736.0,3459.0
3,13,269.85,337312.5,33731.0,25298.0,50597.0,11946.0,33731.0,8433.0,33731.0,7130.0,33731.0,4046.0,33731.0,3458.0
3,14,269.79,337237.5,33724.0,25293.0,50586.0,11944.0,33724.0,8431.0,33724.0,7128.0,33724.0,4045.0,33724.0,3457.0
3,15,278.36,347950.0,34795.0,26096.0,52193.0,12323.0,34795.0,8699.0,34795.0,7354.0,34795.0,4173.0,34795.0,3567.0
3,16,278.89,348612.5,34861.0,26146.0,52292.0,12347.0,34861.0,8715.0,34861.0,7368.0,34861.0,4181.0,34861.0,3574.0
3,17,291.97,364962.5,36496.0,27372.0,54744.0,12926.0,36496.0,9124.0,36496.0,7714.0,36496.0,4377.0,36496.0,3742.0
3,18,342.21,427762.5,42776.0,32082.0,64164.0,15150.0,42776.0,10694.0,42776.0,9041.0,42776.0,5130.0,42776.0,4385.0
3,19,339.26,424075.0,42408.0,31806.0,63611.0,15019.0,42408.0,10602.0,42408.0,8963.0,42408.0,5086.0,42408.0,4348.0
3,20,297.52,371900.0,37190.0,27893.0,55785.0,13171.0,37190.0,9298.0,37190.0,7861.0,37190.0,4460.0,37190.0,3813.0
3,21,297.47,371837.5,37184.0,27888.0,55776.0,13169.0,37184.0,9296.0,37184.0,7859.0,37184.0,4460.0,37184.0,3812.0
3,22,270.32,337900.0,33790.0,25343.0,50685.0,11967.0,33790.0,8448.0,33790.0,7142.0,33790.0,4053.0,33790.0,3464.0
3,23,271.17,338962.5,33896.0,25422.0,50844.0,12005.0,33896.0,8474.0,33896.0,7164.0,33896.0,4065.0,33896.0,3475.0
3,24,269.35,336687.5,33669.0,25252.0,50503.0,11924.0,33669.0,8417.0,33669.0,7116.0,33669.0,4038.0,33669.0,3452.0
3,25,270.31,337887.5,33789.0,25342.0,50683.0,11967.0,33789.0,8447.0,33789.0,7142.0,33789.0,4052.0,33789.0,3464.0
3,26,270.35,337937.5,33794.0,25345.0,50691.0,11969.0,33794.0,8448.0,33794.0,7143.0,33794.0,4053.0,33794.0,3465.0
3,27,270.38,337975.0,33798.0,25348.0,50696.0,11970.0,33798.0,8449.0,33798.0,7144.0,33798.0,4053.0,33798.0,3465.0
3,28,270.41,338012.5,33801.0,25351.0,50702.0,11971.0,33801.0,8450.0,33801.0,7144.0,33801.0,4054.0,33801.0,3465.0
3,29,270.42,338025.0,33803.0,25352.0,50704.0,11972.0,33803.0,8451.0,33803.0,7145.0,33803.0,4054.0,33803.0,3465.0
3,30,270.43,338037.5,33804.0,25353.0,50706.0,11972.0,33804.0,8451.0,33804.0,7145.0,33804.0,4054.0,33804.0,3466.0
3,31,299.11,373887.5,37389.0,28042.0,56083.0,13242.0,37389.0,9347.0,37389.0,7903.0,37389.0,4484.0,37389.0,3833.0
3,32,317.68,397100.0,39710.0,29783.0,59565.0,14064.0,39710.0,9928.0,39710.0,8393.0,39710.0,4763.0,39710.0,4071.0
4,1,297.74,372175.0,37218.0,27913.0,55826.0,13181.0,37218.0,9304.0,37218.0,7866.0,37218.0,4464.0,37218.0,3816.0
4,2,273.0,341250.0,34125.0,25594.0,51188.0,12086.0,34125.0,8531.0,34125.0,7213.0,34125.0,4093.0,34125.0,3498.0
4,3,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,4,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,5,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,6,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,7,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,8,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,9,299.0,373750.0,37375.0,28031.0,56063.0,13237.0,37375.0,9344.0,37375.0,7900.0,37375.0,4483.0,37375.0,3832.0
4,10,312.0,390000.0,39000.0,29250.0,58500.0,13813.0,39000.0,9750.0,39000.0,8243.0,39000.0,4677.0,39000.0,3998.0
4,11,323.65,404562.5,40456.0,30342.0,60684.0,14328.0,40456.0,10114.0,40456.0,8551.0,40456.0,4852.0,40456.0,4148.0
4,12,326.25,407812.5,40781.0,30586.0,61172.0,14443.0,40781.0,10195.0,40781.0,8620.0,40781.0,4891.0,40781.0,4181.0
4,13,326.22,407775.0,40778.0,30583.0,61166.0,14442.0,40778.0,10194.0,40778.0,8619.0,40778.0,4891.0,40778.0,4181.0
4,14,323.65,404562.5,40456.0,30342.0,60684.0,14328.0,40456.0,10114.0,40456.0,8551.0,40456.0,4852.0,40456.0,4148.0
4,15,312.0,390000.0,39000.0,29250.0,58500.0,13813.0,39000.0,9750.0,39000.0,8243.0,39000.0,4677.0,39000.0,3998.0
4,16,299.0,373750.0,37375.0,28031.0,56063.0,13237.0,37375.0,9344.0,37375.0,7900.0,37375.0,4483.0,37375.0,3832.0
4,17,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,18,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,19,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,20,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,21,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,22,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
4,23,273.0,341250.0,34125.0,25594.0,51188.0,12086.0,34125.0,8531.0,34125.0,7213.0,34125.0,4093.0,34125.0,3498.0
4,24,297.74,372175.0,37218.0,27913.0,55826.0,13181.0,37218.0,9304.0,37218.0,7866.0,37218.0,4464.0,37218.0,3816.0
5,1,299.98,374975.0,37498.0,28123.0,56246.0,13280.0,37498.0,9374.0,37498.0,7926.0,37498.0,4497.0,37498.0,3844.0
5,2,267.92,334900.0,33490.0,25118.0,50235.0,11861.0,33490.0,8373.0,33490.0,7079.0,33490.0,4017.0,33490.0,3433.0
5,3,267.82,334775.0,33478.0,25108.0,50216.0,11857.0,33478.0,8369.0,33478.0,7076.0,33478.0,4015.0,33478.0,3432.0
5,4,267.85,334812.5,33481.0,25111.0,50222.0,11858.0,33481.0,8370.0,33481.0,7077.0,33481.0,4016.0,33481.0,3432.0
5,5,267.91,334887.5,33489.0,25117.0,50233.0,11861.0,33489.0,8372.0,33489.0,7078.0,33489.0,4016.0,33489.0,3433.0
5,6,267.98,334975.0,33498.0,25123.0,50246.0,11864.0,33498.0,8374.0,33498.0,7080.0,33498.0,4018.0,33498.0,3434.0
5,7,268.02,335025.0,33503.0,25127.0,50254.0,11865.0,33503.0,8376.0,33503.0,7081.0,33503.0,4018.0,33503.0,3435.0
5,8,267.97,334962.5,33496.0,25122.0,50244.0,11863.0,33496.0,8374.0,33496.0,7080.0,33496.0,4017.0,33496.0,3434.0
5,9,267.9,334875.0,33488.0,25116.0,50231.0,11860.0,33488.0,8372.0,33488.0,7078.0,33488.0,4016.0,33488.0,3433.0
5,10,267.82,334775.0,33478.0,25108.0,50216.0,11857.0,33478.0,8369.0,33478.0,7076.0,33478.0,4015.0,33478.0,3432.0
5,11,267.82,334775.0,33478.0,25108.0,50216.0,11857.0,33478.0,8369.0,33478.0,7076.0,33478.0,4015.0,33478.0,3432.0
5,12,274.13,342662.5,34266.0,25700.0,51399.0,12136.0,34266.0,8567.0,34266.0,7243.0,34266.0,4110.0,34266.0,3513.0
5,13,278.74,348425.0,34843.0,26132.0,52264.0,12340.0,34843.0,8711.0,34843.0,7364.0,34843.0,4179.0,34843.0,3572.0
5,14,296.88,371100.0,37110.0,27833.0,55665.0,13143.0,37110.0,9278.0,37110.0,7844.0,37110.0,4451.0,37110.0,3805.0
5,15,300.04,375050.0,37505.0,28129.0,56258.0,13283.0,37505.0,9376.0,37505.0,7927.0,37505.0,4498.0,37505.0,3845.0
5,16,304.07,380087.5,38009.0,28507.0,57013.0,13461.0,38009.0,9502.0,38009.0,8034.0,38009.0,4559.0,38009.0,3897.0
5,17,300.24,375300.0,37530.0,28148.0,56295.0,13292.0,37530.0,9383.0,37530.0,7933.0,37530.0,4501.0,37530.0,3848.0
5,18,300.3,375375.0,37538.0,28153.0,56306.0,13295.0,37538.0,9384.0,37538.0,7934.0,37538.0,4502.0,37538.0,3848.0
5,19,300.25,375312.5,37531.0,28148.0,56297.0,13292.0,37531.0,9383.0,37531.0,7933.0,37531.0,4501.0,37531.0,3848.0
5,20,272.8,341000.0,34100.0,25575.0,51150.0,12077.0,34100.0,8525.0,34100.0,7208.0,34100.0,4090.0,34100.0,3496.0
5,21,272.75,340937.5,34094.0,25570.0,51141.0,12075.0,34094.0,8523.0,34094.0,7206.0,34094.0,4089.0,34094.0,3495.0
5,22,272.79,340987.5,34099.0,25574.0,51148.0,12077.0,34099.0,8525.0,34099.0,7207.0,34099.0,4090.0,34099.0,3496.0
5,23,272.86,341075.0,34108.0,25581.0,51161.0,12080.0,34108.0,8527.0,34108.0,7209.0,34108.0,4091.0,34108.0,3497.0
5,24,272.91,341137.5,34114.0,25585.0,51171.0,12082.0,34114.0,8528.0,34114.0,7210.0,34114.0,4091.0,34114.0,3497.0
5,25,308.13,385162.5,38516.0,28887.0,57774.0,13641.0,38516.0,9629.0,38516.0,8141.0,38516.0,4619.0,38516.0,3949.0
5,26,316.64,395800.0,39580.0,29685.0,59370.0,14018.0,39580.0,9895.0,39580.0,8366.0,39580.0,4747.0,39580.0,4058.0
6,1,297.74,372175.0,37218.0,27913.0,55826.0,13181.0,37218.0,9304.0,37218.0,7866.0,37218.0,4464.0,37218.0,3816.0
6,2,273.0,341250.0,34125.0,25594.0,51188.0,12086.0,34125.0,8531.0,34125.0,7213.0,34125.0,4093.0,34125.0,3498.0
6,3,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,4,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,5,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,6,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,7,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,8,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,9,299.0,373750.0,37375.0,28031.0,56063.0,13237.0,37375.0,9344.0,37375.0,7900.0,37375.0,4483.0,37375.0,3832.0
6,10,312.0,390000.0,39000.0,29250.0,58500.0,13813.0,39000.0,9750.0,39000.0,8243.0,39000.0,4677.0,39000.0,3998.0
6,11,323.65,404562.5,40456.0,30342.0,60684.0,14328.0,40456.0,10114.0,40456.0,8551.0,40456.0,4852.0,40456.0,4148.0
6,12,326.13,407662.5,40766.0,30575.0,61149.0,14438.0,40766.0,10192.0,40766.0,8617.0,40766.0,4889.0,40766.0,4179.0
6,13,326.11,407637.5,40764.0,30573.0,61146.0,14437.0,40764.0,10191.0,40764.0,8616.0,40764.0,4889.0,40764.0,4179.0
6,14,323.65,404562.5,40456.0,30342.0,60684.0,14328.0,40456.0,10114.0,40456.0,8551.0,40456.0,4852.0,40456.0,4148.0
6,15,312.0,390000.0,39000.0,29250.0,58500.0,13813.0,39000.0,9750.0,39000.0,8243.0,39000.0,4677.0,39000.0,3998.0
6,16,299.0,373750.0,37375.0,28031.0,56063.0,13237.0,37375.0,9344.0,37375.0,7900.0,37375.0,4483.0,37375.0,3832.0
6,17,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,18,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,19,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,20,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,21,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
6,22,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
